"Ticker","Nome","Negócios","Última (R$)","Variação"
"TAEE11","Taesa","2.337.500","33,72","-1,11%"
"BBSE3","BB Seguridade","2.213.000","33,41","-0,39%"
"SLCE3","SLC Agrícola","2.210.800","16,98","-1,28%"
"YDUQ3","YDUQS","2.166.400","10,24","-1,82%"
"SBFG3","Grupo SBF","2.093.600","13,24","-0,97%"
"AZEV4","Azevedo & Travassos","2.075.200","1,15","-1,71%"
"GUAR3","Guararapes","1.965.300","8,01","-5,54%"
"TRPL4","Transmissão Paulista","1.940.600","24,20","+0,21%"
"RECV3","PetroRecôncavo","1.850.200","16,66","-0,60%"
"RAPT4","Randon","1.847.500","10,53","-1,68%"
"IRBR3","IRB Brasil RE","1.739.600","40,00","-1,23%"
"SRNA3","Serena Energia","1.702.400","6,87","-3,38%"
"VIVT3","Vivo","1.687.200","51,60","-0,88%"
"ALPA4","Alpargatas","1.684.300","6,77","-0,15%"
"CPFE3","CPFL Energia","1.562.500","32,36","-0,22%"
"CLSA3","ClearSale","1.532.800","9,84","-0,10%"
"SOJA3","Boa Safra Sementes","1.516.800","11,63","-3,41%"
"LAVV3","Lavvi Incorporadora","1.508.600","8,76","+2,58%"
"BPAN4","Banco Pan","1.507.500","7,64","-0,13%"
"CURY3","Cury","1.463.000","22,66","-1,95%"
"DIRR3","Direcional","1.458.300","30,00","-2,12%"
"PSSA3","Porto Seguro","1.430.700","38,58","-0,49%"
"JHSF3","JHSF","1.417.600","4,45","+0,00%"
"MDIA3","M. Dias Branco","1.369.300","25,40","+4,27%"
"INTB3","Intelbras","1.360.700","16,40","-1,80%"
"TRAD3","Traders Club","1.302.800","8,09","+9,77%"
"SAPR11","Sanepar","1.267.700","26,00","+0,78%"
"ORVR3","Orizon","1.236.300","45,35","-3,82%"
"PRNR3","Priner","1.211.700","15,27","+3,53%"
"ARML3","Armac","1.200.900","7,95","+4,61%"
"IGTI11","Iguatemi","1.193.200","20,15","+0,20%"
"IGTI11","Jereissati Participações","1.193.200","20,15","+0,20%"
"TFCO4","Track & Field","1.193.000","9,30","-2,41%"
"DXCO3","Dexco","1.184.400","7,66","-0,78%"
"EVEN3","Even","1.181.600","5,73","+1,78%"
"EGIE3","Engie","1.149.200","39,42","+0,48%"
"ELET6","Eletrobras","1.134.600","40,58","+0,92%"
"MILS3","Mills","1.129.000","10,32","+1,38%"
"PORT3","Wilson Sons","1.095.400","15,80","+0,45%"
"SEQL3","Sequoia Logística","1.091.800","3,37","+1,51%"
"DASA3","Dasa","1.091.400","2,15","-5,29%"
"HBSA3","Hidrovias do Brasil","1.049.500","3,20","-0,31%"
"SMTO3","São Martinho","1.044.400","24,79","+1,02%"
"MTRE3","Mitre Realty","984.600","3,88","+1,57%"
"RCSL3","Recrusul","976.100","3,96","-0,25%"
"MYPK3","Iochpe-Maxion","948.200","11,63","+1,66%"
"KLBN4","Klabin","929.500","4,11","+0,00%"
"KEPL3","Kepler Weber","902.300","10,39","+0,29%"
"CASH3","Méliuz","900.800","3,34","-1,47%"
"SHOW3","Time For Fun","881.700","0,84","-6,67%"
